x
California
"Salem, Oregon"
"South Bend, IN"
Los Angeles
"West Plains, MO"
"Florida, USA"
"Elmwood Park, NJ"
Riozada
Sarasota and Boston
"New Iberia, LA"
"New York, NY"
Colorado
United States
"Albuquerque, NM"
United States Of America
"Narberth, PA"
Dark rayBURG
"Minnesota, USA"
"Miami, FL"
Green house on Baltic Ave
Jamaica
"Atlanta, GA"
"New Jersey, USA"
"San Jose, CA"
"Rio de Janeiro, Brazil"
"UAlberta, Edmonton, AB"
Brooklyn
Bulgaria
"Chicago, IL"
"West Des Moines, IA"
"Indiana, USA"
"Long Beach, CA"
"Dallas, TX"
Texas... and points beyond...
"Rio de Janeiro, Brasil"
"New York, NY"
Rio de Janeiro
"New York, USA"
"Dimera Mansion, Salem USA"
"Rio de Janeiro, Brazil"
"Oslo, Norway"
Dominican Republic
JUICE COUNTYYY
Dominican Republic
"Dallas, TX"
Siempre al alcance de tu mano
"Brussels, Belgium"
"El Paso, TX"
"Snellville, GA"
"Acworth, GA"
"Oconee County, GA"
"Mableton, GA"
"Marietta, GA"
"Monroe, GA"
"Jeddah, Medina"
"Texas, USA"
"Deadwood, SD"
"New Jersey, USA"
Southwest Florida
"Willow Grove, PA"
"Aston, Pennsylvania"
"Nashville, TN"
"Honolulu, Hawaii"
Bottom of A Wine Glass 
"Tennessee, USA"
Êñ∞ÊΩüÁúå‰ΩêÊ∏°Â∏Ç
"Look up, waaaaayyyyyy up."
"Los Angeles, CA"
"Oslo, Norway"
ŒïŒõŒõŒëŒîŒë
"Ohio, USA"
idaho
Malakistan..or nearby
"Washington, USA"
"California, USA"
Outer Space
Sydney
"Tucson, AZ"
CA
Central and Northern Michigan
Bangalore
"Philadelphia, PA"
"Trussville, Alabama"
"Labrador City, NL"
Florida
"Farmers Branch, Texas"
 
United States
"Marble Falls, TX"
"Classic Country Music, PA."
Burnsville mn 
"Near West Side, Chicago"
"Lawrence, KS "
Dallas Flexas
"Englewood, FL"
central coast
"Los Angeles, CA"
Bryant Arkansas
Upstate New York
"Minas Gerais, Brazil"
San Francisco Bay Area
Louisiana
"New Jersey, USA"
Central New Jersey
"Holly Springs, GA"
"Suwanee, GA (Atlanta metro)"
"Waterford, CT"
South Hull Solopsist Synagogue
"Winder, GA"
"Druid Hills, GA"
"Brookhaven, GA"
"Athens, GA"
"Duluth, GA"
"East Cobb, GA"
"Cascade, GA"
"Buford, GA"
"Cobb County, Ga."
"Dunwoody, GA"
"Houston, TX"
Korean Catholic School
"Hermosa Beach, CA"
Harvard of the west
Los Angeles California
Swindon
vix
Beach
"Florida, USA"
Cardiff
cryinG
"Michigan, USA"
Greensboro/Winston-Salem NC
"Spartanburg, SC"
PNW
"St. Louis, Missouri"
Porto Alegre
"S√£o Gon√ßalo, Brasil"
"S.F. Bay Area, CA, USA..."
Minnesota
"Mobile, Alabama"
"Oster√∏y, Norge"
glasgow
"San Jose, CA"
USA 
"San Antonio, TX"
Kilmacrennan
"Hatay, T√ºrkiye"
"Miami, FL"
Georgia 
"Evansville, IN"
In my head
Madrid
"Durham, NC"
"Atlanta, Ga "
Meowville
"Pelotas, Rio Grande do Sul"
"Grand Rapids, Michigan"
United States
"Pismo Beach, CA"
New York
"Mimoso do Sul, Brasil"
"ÿ¨ÿØÿ©, ÿßŸÑŸÖŸÖŸÑŸÉÿ© ÿßŸÑÿπÿ±ÿ®Ÿäÿ© ÿßŸÑÿ≥ÿπŸàÿØŸäÿ©"
"Springfield, IL"
"Bay Area, California"
"Atlanta, GA"
Jonesboro louisiana 
California
"Houston,Tx"
Kenta's warmth
Wales
"Pennsylvania, USA"
"Panama City, Florida"
New York
"Kennesaw, GA"
"Stone Mountain, GA"
"Los Angeles, CA"
"Indiana, USA"
"Vermont, USA"
"Pacific Grove, CA"
Surabaya
Ebbw Vale / Cardiff
"Lake Norman, NC"
"Huntersville, NC"
"Florida, USA"
MN | UJ
Rio de Janeiro - Brasil
"Cavite, Ph."
Ohio
Kuwait
G√°vea
"Atlanta, Georgia"
"Rio de Janeiro, Brasil"
West Texas
North Carolina
Dove's position: Los Angeles 
"Post Falls, ID"
"Atlanta, GA"
"San Francisco, CA"
"Washington, USA"
"Livingston--Knoxville, TN "
Dayton Ohio
Queen City born
south Texas
D [M] V
"Eau Claire, WI"
"Sacramento, CA"
New York City
"Simply, Just Here"
Na sua rs
"Gainesville, Fl"
"Little Rock, AR"
"Cordovil, Rio de Janeiro"
"Indiana, USA"
eataly
Maryland USA
"Henderson, NV"
New York
"Marietta, GA"
Rio
"Kansas City, MO"
Everywhere
The innernets
Bro
"Portland, OR"
NJ
Cairo Ì†ºÌ∑™Ì†ºÌ∑¨
"New York, USA"
prolly at kidd coffee
"Indiana, USA"
"Huntersville, NC"
Groningen
Dublin
Turkey
NYC
"San Francisco, CA"
Commonwealth of Pennsylvania 
"Wellington, NZ"
North Carolina
jersey
"Knoxville, TN"
caxias city
BLANKPINK. ‚ô°
USA
"Moore, Oklahoma"
"Chicago, IL"
"Smyrna, GA"
"Seattle, WA"
United States
USA
isvi√ßre
Na sua
"Washington, DC"
United States
cheshire
"Porto Alegre, Brasil"
"Chicago, IL"
not britain
Polo Grounds
"Stockton, CA"
"Wombourne, Staffs"
"S√£o Jo√£o de Meriti, Brasil"
"Los Angeles, CA"
"ƒ∞zmit, Kocaeli"
AlbuquerqueÌ†ºÌ∑∫Ì†ºÌ∑∏
"Florida, USA"
"Wellington City, New Zealand"
Greater Los Angeles Area
Cardiff
Eastern PA
g√∂lc√ºk
United States
"Ipswich,MA"
"New Orleans, LA"
"Plymouth Meeting, PA"
"Baton Rouge, LA"
"Ponce,Puerto Rico "
"Santiago, Chile"
"Venus, TX"
„Ç§„É≥„Éâ„Éç„Ç∑„Ç¢
"Louisville, Kentucky"
Kent
Ahsaki ‚Ä¢ Saki ‚Ä¢ she/her
Stanford University
Whoville
NE MUTLU T√úRK√úM 
Bangu - RJ
"Connecticut, USA"
"Home, NJ"
"Boston, Massachusetts USA"
"Jupiter, FL"
"Jupiter, FL"
"Horseheads, NY"
"New York, USA"
"Humble, TX"
"Dom Bas√≠lio, Brasil"
"Aberaeron, Wales"
"Broken Arrow, OK"
"Boyertown, Pa"
"Washington, DC"
USA
"Sioux Falls, SD"
"Athens, GA"
Mystic Falls
"Ohio, USA"
"Honolulu, Hawaii"
en mi casa... :v
Universe
National City
"Syracuse, NY"
"Kenosha, Wi"
"Honolulu, HI"
Na sua rs
Headbanging my heart out Ì†æÌ¥òÌ†ºÌøΩ
"Little Rock, AR"
"Little Rock, AR"
"Newburyport,MA"
Ohio
"Missouri, USA"
"Boston, MA"
"Jacksonville, FL"
Basingstoke
"Memphis, TN"
"Illinois, USA"
Niter√≥i RJ 
YaƒüHaz
"Centro, Rio de Janeiro"
"Diadema, Brasil"
"Salt Lake City, UT"
Somewhere
Las Vegas
"bay area, ca"
"Huntington, WV"
Ranveer's Kingdom
"Lawrence, KS"
"Auckland, New Zealand"
just gone to buy milk
Texas
Michigan USA
"Van Wert, OH"
"Houston, TX"
they're humans before idols
"ƒ∞stanbul, T√ºrkiye"
The Shelter (bad dog!)
Tbh idk 
Rio de Janeiro
"College Station, TX"
M√©xico
pending
Minneapolis
MN
"Tenente Jardim, S√£o Gon√ßalo"
keganggu? unfol saja:)
"Dallas, Tx"
√úlk√ºc√º Gen√ßlik
houston
"Georgia, USA"
Having a Gin & Laughing ..
"Portland, OR"
"Annapolis, MD"
"Oakland, California"
Mustafa Kemal √úniversitesi
"Botafogo, Rio de Janeiro"
Brasil-- Rj
Earth
Florida 
"Birmingham, AL"
"Los Angeles, CA"
That pussy
Rio de Janeiro
"don't know, wasn't there"
"Las Vegas, Nevada"
Narnia
"Las Vegas, Nevada"
"Doncaster, South Yorkshire"
Buenos Aires
"Boalsburg, Pennsylvania, USA"
"Jackson, MS"
"Annapolis, MD"
"Jackson, MS"
Ros√°rio-ma
Rio de Janeiro
Im The Violence In The Pouring Rain   I'm A Hurricane
NY
"Rio de Janeiro, Brasil"
Rio de Janeiro
"Los Angeles, CA"
Belgium
"Washington, USA"
"Thot Town , New York "
"Chicago, IL"
"Portland, OR"
"Rio de Janeiro, Brazil"
"Petr√≥polis, Brasil"
Los Cabos
"NoDa, Charlotte"
"Mooresville, NC"
"North Carolina, USA"
"Myers Park, Charlotte"
"Huntersville, NC"
"Raleigh, NC"
"Watertown, MA, USA"
New York City
"Piau√≠, Brazil"
"Illinois, USA"
everywhere
"Twosun, Arizona"
"Corvallis, OR"
"Probolinggo, Jawa Timur"
"CIBOLO, TEXAS"
"Omaha, NE"
United States
"Gainesville, FL"
Base Hereford
"Louisiana, USA"
"Chicago, IL"
"Fairfax, CA"
Maine
Oregon
Mountains Arkansas
Society of Technowizards
"Rio de Janeiro, Brasil"
GTA
"Busan, Republic of Korea"
"Pennsylvania, USA"
Connecticut
"Kailua-Kona, HI"
East Carolina University
"New Haven, CT"
Israel
"Jonesborough, TN"
"Hamilton, OH"
Â±±ÂΩ¢
"Louisville, KY"
Bleachers
"New York, NY"
"Idaho, USA"
istanbul
"Chicago, Illinois"
"Mission Hills, CA"
Laandaan
"Boston, MA"
"Blue Drop, Large Red Ocean"
"Charlotte, NC"
"New Jersey, USA"
"Pembroke Pines, FL"
"Tennessee, USA"
"√Åguia Branca, Brasil"
"Arlington Heights, IL"
"Montclair, NJ"
"McKinney, TX."
"Minneapolis, MN"
 √ñt√ºken
"University of Missouri at Columbia, Mo."
"Clarkson, Perth (WA)"
Turkey
"Plantation, FL"
"Baltimore, Maryland"
San Francisco
"Santiago, RM, Chile"
"Gulfport, MS"
Belo Horizonte
Minsk
"Palestine, TX"
"Auckland, New Zealand"
"Washington, D.C."
SoCal
Central Alberta
"Las Vegas, NV"
US
"El Paso, Texas, USA"
Heartland of America
"Sacramento, CA"
"Cedar County, IA"
Traverse City
"San Antonio, Texas"
"Atlanta, GA"
"Atlanta, GA"
Singapore
"Boston, MA"
"Belvidere, IL"
"Rio de Janeiro, Brasil"
"Angra dos Reis, Brasil"
Espa√±a
"Columbus, OH"
Fluminense FC
Maryland
√ñT√úKEN
Chicago
"Winona Lake, IN "
Corsica
"Boston, MA"
"Spokane, WA"
"Ormond Beach, FL"
In the trash.
ASU Biology
"Waterloo, IA"
"Huntsville, AL"
"Chicago, IL"
"Nairobi, Kenya"
clog wench
