,x
5,"West Plains, MO"
6,"Florida, USA"
7,"Elmwood Park, NJ"
8,Riozada
9,Sarasota and Boston
10,"New Iberia, LA"
13,"New York, NY"
14,Colorado
15,United States
16,"Albuquerque, NM"
17,United States Of America
18,"Narberth, PA"
19,Dark rayBURG
20,"Minnesota, USA"
21,"Miami, FL"
22,Green house on Baltic Ave
23,Jamaica
24,"Atlanta, GA"
25,"New Jersey, USA"
26,"San Jose, CA"
27,"Rio de Janeiro, Brazil"
28,"UAlberta, Edmonton, AB"
29,Brooklyn
30,Bulgaria
31,"Chicago, IL"
32,"West Des Moines, IA"
33,"Indiana, USA"
34,"Long Beach, CA"
35,"Dallas, TX"
36,Texas... and points beyond...
37,"Rio de Janeiro, Brasil"
38,"New York, NY"
39,Rio de Janeiro
40,"New York, USA"
41,"Dimera Mansion, Salem USA"
42,"Rio de Janeiro, Brazil"
43,"Oslo, Norway"
44,Dominican Republic
45,JUICE COUNTYYY
46,Dominican Republic
47,"Dallas, TX"
48,Siempre al alcance de tu mano
49,"Brussels, Belgium"
50,"El Paso, TX"
51,"Snellville, GA"
52,"Acworth, GA"
53,"Oconee County, GA"
54,"Mableton, GA"
55,"Marietta, GA"
56,"Monroe, GA"
57,"Jeddah, Medina"
58,"Texas, USA"
59,"Deadwood, SD"
60,"New Jersey, USA"
61,Southwest Florida
62,"Willow Grove, PA"
63,"Aston, Pennsylvania"
64,"Nashville, TN"
65,"Honolulu, Hawaii"
66,Bottom of A Wine Glass
67,"Tennessee, USA"
70,"Los Angeles, CA"
71,"Oslo, Norway"
73,"Ohio, USA"
74,idaho
75,Malakistan..or nearby
76,"Washington, USA"
77,"California, USA"
78,Outer Space
79,Sydney
80,"Tucson, AZ"
81,CA
82,Central and Northern Michigan
83,Bangalore
84,"Philadelphia, PA"
85,"Trussville, Alabama"
86,"Labrador City, NL"
87,Florida
88,"Farmers Branch, Texas"
90,United States
91,"Marble Falls, TX"
92,"Classic Country Music, PA."
93,Burnsville mn
94,"Near West Side, Chicago"
95,"Lawrence, KS "
96,Dallas Flexas
97,"Englewood, FL"
98,central coast
99,"Los Angeles, CA"
100,Bryant Arkansas
101,Upstate New York
102,"Minas Gerais, Brazil"
103,San Francisco Bay Area
104,Louisiana
105,"New Jersey, USA"
106,Central New Jersey
107,"Holly Springs, GA"
108,"Suwanee, GA (Atlanta metro)"
109,"Waterford, CT"
110,South Hull Solopsist Synagogue
111,"Winder, GA"
112,"Druid Hills, GA"
113,"Brookhaven, GA"
114,"Athens, GA"
115,"Duluth, GA"
116,"East Cobb, GA"
117,"Cascade, GA"
118,"Buford, GA"
119,"Cobb County, Ga."
120,"Dunwoody, GA"
121,"Houston, TX"
122,Korean Catholic School
123,"Hermosa Beach, CA"
124,Harvard of the west
125,Los Angeles California
126,Swindon
127,vix
128,Beach
129,"Florida, USA"
130,Cardiff
131,cryinG
132,"Michigan, USA"
133,Greensboro/Winston-Salem NC
134,"Spartanburg, SC"
135,PNW
136,"St. Louis, Missouri"
137,Porto Alegre
139,"S.F. Bay Area, CA, USA..."
140,Minnesota
141,"Mobile, Alabama"
143,glasgow
144,"San Jose, CA"
145,USA
146,"San Antonio, TX"
149,"Miami, FL"
150,Georgia
151,"Evansville, IN"
152,In my head
153,Madrid
154,"Durham, NC"
155,"Atlanta, Ga "
156,Meowville
157,"Pelotas, Rio Grande do Sul"
158,"Grand Rapids, Michigan"
159,United States
160,"Pismo Beach, CA"
161,New York
162,"Mimoso do Sul, Brasil"
164,"Springfield, IL"
165,"Bay Area, California"
166,"Atlanta, GA"
167,Jonesboro louisiana
168,California
169,"Houston,Tx"
170,Kenta's warmth
171,Wales
172,"Pennsylvania, USA"
173,"Panama City, Florida"
174,New York
175,"Kennesaw, GA"
176,"Stone Mountain, GA"
177,"Los Angeles, CA"
178,"Indiana, USA"
179,"Vermont, USA"
180,"Pacific Grove, CA"
181,Surabaya
182,Ebbw Vale / Cardiff
183,"Lake Norman, NC"
184,"Huntersville, NC"
185,"Florida, USA"
187,Rio de Janeiro - Brasil
188,"Cavite, Ph."
189,Ohio
190,Kuwait
192,"Atlanta, Georgia"
193,"Rio de Janeiro, Brasil"
194,West Texas
195,North Carolina
196,Dove's position: Los Angeles
197,"Post Falls, ID"
198,"Atlanta, GA"
199,"San Francisco, CA"
200,"Washington, USA"
201,"Livingston--Knoxville, TN "
202,Dayton Ohio
203,Queen City born
204,south Texas
206,"Eau Claire, WI"
207,"Sacramento, CA"
208,New York City
209,"Simply, Just Here"
210,Na sua rs
211,"Gainesville, Fl"
212,"Little Rock, AR"
213,"Cordovil, Rio de Janeiro"
214,"Indiana, USA"
216,Maryland USA
217,"Henderson, NV"
218,New York
219,"Marietta, GA"
220,Rio
221,"Kansas City, MO"
222,Everywhere
223,The innernets
224,Bro
225,"Portland, OR"
226,NJ
228,"New York, USA"
229,prolly at kidd coffee
230,California
231,"Salem, Oregon"
232,"South Bend, IN"
233,Los Angeles
234,"West Plains, MO"
235,"Florida, USA"
236,"Elmwood Park, NJ"
237,Riozada
238,Sarasota and Boston
239,"New Iberia, LA"
242,"New York, NY"
243,Colorado
244,United States
245,"Albuquerque, NM"
246,United States Of America
247,"Narberth, PA"
248,Dark rayBURG
249,"Minnesota, USA"
250,"Miami, FL"
251,Green house on Baltic Ave
252,California
253,"Salem, Oregon"
254,"South Bend, IN"
255,Los Angeles
256,"West Plains, MO"
257,"Florida, USA"
258,"Elmwood Park, NJ"
259,Riozada
260,Sarasota and Boston
261,"New Iberia, LA"
264,"New York, NY"
265,Colorado
266,United States
267,"Albuquerque, NM"
268,United States Of America
269,"Narberth, PA"
270,Dark rayBURG
271,"Minnesota, USA"
272,"Miami, FL"
273,Green house on Baltic Ave
274,Jamaica
275,"Atlanta, GA"
276,"New Jersey, USA"
277,"San Jose, CA"
278,"Rio de Janeiro, Brazil"
279,"UAlberta, Edmonton, AB"
280,Brooklyn
281,Bulgaria
282,"Chicago, IL"
283,"West Des Moines, IA"
284,"Indiana, USA"
285,"Long Beach, CA"
286,"Dallas, TX"
288,Bangu - RJ
289,"Connecticut, USA"
290,"Home, NJ"
291,"Boston, Massachusetts USA"
292,"Jupiter, FL"
293,"Jupiter, FL"
294,"Horseheads, NY"
295,"New York, USA"
296,"Humble, TX"
297,"Dom Basílio, Brasil"
298,"Aberaeron, Wales"
299,"Broken Arrow, OK"
300,"Boyertown, Pa"
301,"Washington, DC"
302,USA
303,"Sioux Falls, SD"
304,"Athens, GA"
305,Mystic Falls
306,"Ohio, USA"
307,"Honolulu, Hawaii"
308,en mi casa... :v
309,Universe
310,National City
311,"Syracuse, NY"
312,"Kenosha, Wi"
313,"Honolulu, HI"
316,"Little Rock, AR"
317,"Little Rock, AR"
318,"Newburyport,MA"
319,Ohio
320,"Missouri, USA"
321,"Boston, MA"
322,"Jacksonville, FL"
323,Basingstoke
324,"Memphis, TN"
325,"Illinois, USA"
328,"Centro, Rio de Janeiro"
329,"Diadema, Brasil"
330,"Salt Lake City, UT"
331,Somewhere
332,Las Vegas
333,"bay area, ca"
334,"Huntington, WV"
335,Ranveer's Kingdom
336,"Lawrence, KS"
337,"Auckland, New Zealand"
338,just gone to buy milk
339,Texas
340,Michigan USA
341,"Van Wert, OH"
342,"Houston, TX"
343,they're humans before idols
347,Rio de Janeiro
348,"College Station, TX"
349,México
350,pending
351,Minneapolis
352,MN
355,"Dallas, Tx"
357,houston
358,"Georgia, USA"
359,Having a Gin & Laughing ..
360,"Portland, OR"
361,"Annapolis, MD"
362,"Oakland, California"
364,"Botafogo, Rio de Janeiro"
365,Brasil-- Rj
366,Earth
367,Florida
368,"Birmingham, AL"
369,"Los Angeles, CA"
371,Rio de Janeiro
372,"don't know, wasn't there"
373,"Las Vegas, Nevada"
374,Narnia
375,"Las Vegas, Nevada"
376,"Doncaster, South Yorkshire"
377,Buenos Aires
378,"Boalsburg, Pennsylvania, USA"
379,"Jackson, MS"
