"","lon","lat"
"1",-91.8523711,36.7281154
"2",-81.5157535,27.6648274
"3",NA,NA
"4",NA,NA
"5",-82.5545239,27.3955284
"6",-91.8187285,30.0035365
"7",-74.0059728,40.7127753
"8",-105.7820674,39.5500507
"9",-95.712891,37.09024
"10",-106.6055534,35.0853336
"11",-95.712891,37.09024
"12",-75.26046,40.0084456
"13",NA,NA
"14",-94.6858998,46.729553
"15",-80.1917902,25.7616798
"16",-72.105169,41.618468
"17",-77.297508,18.109581
"18",NA,NA
"19",-74.4056612,40.0583238
"20",-121.8863286,37.3382082
"21",-43.1728965,-22.9068467
"22",-113.5263186,53.5232189
"23",-73.9441579,40.6781784
"24",25.48583,42.733883
"25",-87.6297982,41.8781136
"26",-93.711332,41.5772115
"27",-86.1349019,40.2671941
"28",-118.1937395,33.7700504
"29",-96.7969879,32.7766642
"30",NA,NA
"31",-43.1728965,-22.9068467
"32",-74.0059728,40.7127753
"33",-43.1728965,-22.9068467
"34",-74.0059728,40.7127753
"35",NA,NA
"36",-43.1728965,-22.9068467
"37",10.7522454,59.9138688
"38",-70.162651,18.735693
"39",-90.4476789,38.5997918
"40",-70.162651,18.735693
"41",-96.7969879,32.7766642
"42",NA,NA
"43",4.3517211,50.8503463
"44",-106.4850217,31.7618778
"45",NA,NA
"46",-84.6768796,34.0659329
"47",-83.4430118,33.8231988
"48",-84.5824329,33.8187167
"49",-84.5499327,33.952602
"50",-83.713229,33.7948364
"51",38.192966,24.0039395
"52",-99.9018131,31.9685988
"53",-103.7296415,44.376651
"54",-74.4056612,40.0583238
"55",-81.5157535,27.6648274
"56",-75.1157286,40.1439985
"57",NA,NA
"58",-86.7816016,36.1626638
"59",NA,NA
"60",77.6099257,12.9138374
"61",-86.5804473,35.5174913
"62",-118.2436849,34.0522342
"63",10.7522454,59.9138688
"64",-82.907123,40.4172871
"65",-114.7420408,44.0682019
"66",NA,NA
"67",-120.7401385,47.7510741
"68",-119.4179324,36.778261
"69",-72.9254428,41.3535161
"70",151.2092955,-33.8688197
"71",-110.926479,32.2217429
"72",-119.4179324,36.778261
"73",-73.471809,40.6802639
"74",77.5945627,12.9715987
"75",-75.1652215,39.9525839
"76",-86.6088756,33.6198251
"77",-66.914216,52.9390014
"78",-81.5157535,27.6648274
"79",-96.8961151,32.9265137
"80",-95.712891,37.09024
"81",NA,NA
"82",-91.377249,39.935814
"83",-93.2777226,44.7677424
"84",-87.663045,41.8810644
"85",NA,NA
"86",NA,NA
"87",-82.3525952,26.9620053
"88",151.4435474,-33.3529519
"89",-118.2436849,34.0522342
"90",-92.4890469,34.5959265
"91",NA,NA
"92",-44.5550308,-18.512178
"93",-122.2913078,37.8271784
"94",-91.9623327,30.9842977
"95",-74.4056612,40.0583238
"96",-74.3656203,40.6315843
"97",NA,NA
"98",-84.0712997,34.0514898
"99",NA,NA
"100",NA,NA
"101",-83.7201709,33.9926097
"102",-84.3360359,33.7803832
"103",NA,NA
"104",-83.357567,33.9519347
"105",-84.1446376,34.0028786
"106",-84.4272803,33.983656
"107",-84.4789489,33.7194001
"108",-84.0043513,34.1206564
"109",NA,NA
"110",-84.3346473,33.9462125
"111",-95.3698028,29.7604267
"112",-122.3279745,47.7144131
"113",-118.3995194,33.8622366
"114",-88.6137101,42.422241
"115",-118.2436849,34.0522342
"116",NA,NA
"117",-0.858801,46.364304
"118",-83.857633,42.4386349
"119",NA,NA
"120",-3.17909,51.481581
"121",-94.5366379,38.8897411
"122",NA,NA
"123",-80.1938012,36.1100063
"124",-81.9320482,34.9495672
"125",17.7948189,50.6411215
"126",-90.1994042,38.6270025
"127",NA,NA
"128",-122.2913078,37.8271784
"129",NA,NA
"130",-88.0398912,30.6953657
"131",-4.251806,55.864237
"132",-121.8863286,37.3382082
"133",-95.712891,37.09024
"134",-98.4936282,29.4241219
"135",NA,NA
"136",-82.9000751,32.1656221
"137",-87.5710898,37.9715592
"138",-84.2464216,39.673586
"139",-3.7037902,40.4167754
"140",-78.898619,35.9940329
"141",NA,NA
"142",-122.3432867,47.6637909
"143",-52.3375886,-31.7653989
"144",-85.6680863,42.9633599
"145",-95.712891,37.09024
"146",-120.6412827,35.1427533
"147",-74.0059728,40.7127753
"148",-41.3619226,-21.0632703
"149",-89.6501481,39.7817213
"150",-122.2913078,37.8271784
"151",-84.3879824,33.7489954
"152",-92.7159853,32.2412672
"153",-119.4179324,36.778261
"154",-95.3698028,29.7604267
"155",0.5821489,51.2218067
"156",-3.7837117,52.1306607
"157",-77.1945247,41.2033216
"158",-85.6602058,30.1588129
"159",-74.0059728,40.7127753
"160",-84.6154897,34.0234337
"161",-84.170196,33.8081608
"162",NA,NA
"163",-86.1349019,40.2671941
"164",-72.5778415,44.5588028
"165",-121.9166215,36.6177374
"166",112.7520883,-7.2574719
"167",-3.19611,51.75714
"168",-80.918003,35.5019795
"169",-80.8428504,35.410694
"170",-81.5157535,27.6648274
"171",-43.1728965,-22.9068467
"172",120.8785658,14.2456329
"173",-82.907123,40.4172871
"174",47.481766,29.31166
"175",-84.3879824,33.7489954
"176",-43.1728965,-22.9068467
"177",-97.0916692,31.8023831
"178",-79.0192997,35.7595731
"179",NA,NA
"180",NA,NA
"181",-84.3879824,33.7489954
"182",-122.4194155,37.7749295
"183",-120.7401385,47.7510741
"184",-84.0439532,35.9214081
